categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;01/01/2021;14:27:57;1;SAN NICOLAS;CORRIENTES AV.;1502;-34.6042033363039;-58.388156765121;GCS Web;Masculino;Cerrado;11/01/2021;22:14:02
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;01/01/2021;09:49:42;11;VILLA GRAL. MITRE;ALVAREZ, DONATO, TTE. GRAL. AV.;2017;-34.6041263425339;-58.4642251476653;GCS Web;Femenino;Cerrado;07/01/2021;14:35:27
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;02/01/2021;15:40:23;9;PARQUE AVELLANEDA;SAN JUAN BAUTISTA DE LA SALLE AV.;2062;-34.6542860919423;-58.4782459417737;App BA 147;Masculino;Cerrado;14/01/2021;17:12:58
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;02/01/2021;12:34:52;12;VILLA URQUIZA;BARZANA;2180;-34.5783281544952;-58.4885534575042;App BA 147;Femenino;Cerrado;14/01/2021;12:59:40
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;02/01/2021;12:27:40;15;VILLA CRESPO;ESTADO DE ISRAEL AV.;4577;-34.5994897436696;-58.429990198173;App BA 147;Femenino;Cerrado;18/01/2021;13:30:47
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;02/01/2021;20:44:21;4;PARQUE PATRICIOS;CASEROS AV.;3004;-34.6372357865505;-58.4058052624975;GCS Web;Masculino;Cerrado;13/01/2021;19:24:46
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;02/01/2021;12:25:57;12;VILLA URQUIZA;BARZANA;2179;-34.5784268762716;-58.488364182013;App BA 147;Femenino;Cerrado;14/01/2021;12:30:25
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;02/01/2021;23:10:10;11;VILLA DEL PARQUE;LOZANO, PEDRO;3027;-34.5999717068221;-58.4930085199453;GCS Web;Femenino;Cerrado;11/01/2021;22:18:01
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;02/01/2021;16:40:48;7;PARQUE CHACABUCO;FERNANDEZ MORENO, BALDOMERO;1629;-34.6330507159143;-58.4484685461627;GCS Web;Femenino;Cerrado;11/01/2021;22:24:29
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;02/01/2021;12:21:50;12;VILLA URQUIZA;BARZANA;2177;-34.5784968543815;-58.4883092274693;App BA 147;Femenino;Cerrado;14/01/2021;12:48:26
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;02/01/2021;12:23:43;12;VILLA URQUIZA;BARZANA;2177;-34.5784968543815;-58.4883092274693;App BA 147;Femenino;Cerrado;14/01/2021;12:48:26
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;02/01/2021;12:38:26;12;SAAVEDRA;BALBIN, RICARDO, DR. AV.;3912;-34.5550829899211;-58.4852010688752;App BA 147;Femenino;Cerrado;07/01/2021;14:46:38
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;03/01/2021;21:12:26;6;CABALLITO;DIRECTORIO AV.;473;-34.6278728444875;-58.4333348773747;Operador GCBA;Femenino;Cerrado;19/01/2021;14:59:51
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;03/01/2021;01:00:02;12;SAAVEDRA;LARRALDE, CRISOLOGO AV.;3660;-34.5551343322108;-58.4792318609022;GCS Web;Femenino;Cerrado;11/01/2021;22:16:05
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;03/01/2021;11:57:00;15;PARQUE CHAS;DE LOS INCAS AV.;4889;-34.5845949257542;-58.4788290905762;GCS Web;Masculino;Cerrado;13/01/2021;11:29:25
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;03/01/2021;13:47:55;9;PARQUE AVELLANEDA;SAN JUAN BAUTISTA DE LA SALLE AV.;2062;-34.6542860919423;-58.4782459417737;App BA 147;Masculino;Cerrado;15/01/2021;12:36:18
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;03/01/2021;11:59:03;1;SAN NICOLAS;PARANA;356;-34.6046790337076;-58.387954812874;App BA 147;Femenino;Cerrado;11/01/2021;22:00:17
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;03/01/2021;15:16:28;5;ALMAGRO;PERON, JUAN DOMINGO, TTE. GENERAL;4095;-34.6059217466256;-58.4243669679606;GCS Web;Femenino;Cerrado;12/01/2021;14:42:09
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;04/01/2021;08:49:39;7;FLORES;AVELLANEDA AV.;1899;-34.6216708061783;-58.4576375590875;Operador GCBA;Masculino;Cerrado;11/01/2021;22:21:57
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;04/01/2021;10:36:31;6;CABALLITO;ALVAREZ, DONATO, TTE. GRAL.;645;-34.61807758904;-58.4574370052372;GCS Web;Masculino;Cerrado;12/01/2021;13:47:12
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;04/01/2021;15:35:52;15;VILLA CRESPO;CAMARGO;825;-34.5978252580397;-58.4429624065606;GCS Web;Masculino;Cerrado;19/01/2021;15:04:19
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;04/01/2021;22:43:20;1;MONSERRAT;DE MAYO AV.;;-34.6092861669811;-58.3848481440021;GCS Web;Femenino;Cerrado;13/01/2021;12:41:41
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;04/01/2021;15:40:01;15;VILLA CRESPO;CAMARGO;825;-34.5978252580397;-58.4429624065606;GCS Web;Masculino;Cerrado;19/01/2021;15:04:19
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;04/01/2021;15:47:37;4;PARQUE PATRICIOS;LA RIOJA;1659;-34.6298682263218;-58.4065031381502;GCS Web;Masculino;Cerrado;13/01/2021;11:49:00
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;05/01/2021;13:42:17;6;CABALLITO;GOYENA, PEDRO AV.;1373;-34.6272988504672;-58.4466028722316;Operador GCBA;Femenino;Cerrado;13/01/2021;13:49:55
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;05/01/2021;08:23:05;14;PALERMO;COSTA RICA;5901;-34.5801640628422;-58.4377883331456;App BA 147;Femenino;Cerrado;12/01/2021;16:38:10
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;05/01/2021;12:08:18;9;LINIERS;IBARROLA;6501;-34.641443822698;-58.5186339859552;GCS Web;Femenino;Cerrado;12/01/2021;16:36:25
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;05/01/2021;08:08:15;15;PATERNAL;GARMENDIA AV.;4879;-34.5945511713077;-58.4650556550803;GCS Web;Femenino;Cerrado;13/01/2021;12:55:42
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;05/01/2021;12:29:24;14;PALERMO;CHENAUT, INDALESIO, GRAL. AV.;1878;-34.5712263406546;-58.4319479937445;App BA 147;Masculino;Cerrado;08/01/2021;15:41:01
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;05/01/2021;16:19:36;14;PALERMO;SOLER;4456;-34.5886416334969;-58.4228577082424;GCS Web;Masculino;Cerrado;12/01/2021;16:32:28
